Country,Region,Code,Date,Sex,Age,AgeInt,Cases,Deaths
China,All,CN11.02.2020,11.02.2020,b,0,10,416,0
China,All,CN11.02.2020,11.02.2020,b,10,10,549,1
China,All,CN11.02.2020,11.02.2020,b,20,10,3619,7
China,All,CN11.02.2020,11.02.2020,b,30,10,7600,18
China,All,CN11.02.2020,11.02.2020,b,40,10,8571,38
China,All,CN11.02.2020,11.02.2020,b,50,10,10008,130
China,All,CN11.02.2020,11.02.2020,b,60,10,8583,309
China,All,CN11.02.2020,11.02.2020,b,70,10,3918,312
China,All,CN11.02.2020,11.02.2020,b,80,10,1206.8,167.6
China,All,CN11.02.2020,11.02.2020,b,90,10,192,38.1
China,All,CN11.02.2020,11.02.2020,b,100,5,9.2,2.4
Germany,All,DE_01.03.2020,01.03.2020,b,0,10,7.3,0
Germany,All,DE_01.03.2020,01.03.2020,b,10,10,10,0
Germany,All,DE_01.03.2020,01.03.2020,b,20,10,34.9,0
Germany,All,DE_01.03.2020,01.03.2020,b,30,10,44.1,0
Germany,All,DE_01.03.2020,01.03.2020,b,40,10,25.8,0
Germany,All,DE_01.03.2020,01.03.2020,b,50,10,19,0
Germany,All,DE_01.03.2020,01.03.2020,b,60,10,10.1,0
Germany,All,DE_01.03.2020,01.03.2020,b,70,10,4.9,0
Germany,All,DE_01.03.2020,01.03.2020,b,80,10,1.6,0
Germany,All,DE_01.03.2020,01.03.2020,b,90,10,0.4,0
Germany,All,DE_01.03.2020,01.03.2020,b,100,5,0,0
Germany,All,DE_01.03.2020,01.03.2020,f,0,10,3.9,0
Germany,All,DE_01.03.2020,01.03.2020,f,10,10,5.1,0
Germany,All,DE_01.03.2020,01.03.2020,f,20,10,16,0
Germany,All,DE_01.03.2020,01.03.2020,f,30,10,19.7,0
Germany,All,DE_01.03.2020,01.03.2020,f,40,10,11.6,0
Germany,All,DE_01.03.2020,01.03.2020,f,50,10,8.8,0
Germany,All,DE_01.03.2020,01.03.2020,f,60,10,4.5,0
Germany,All,DE_01.03.2020,01.03.2020,f,70,10,2.5,0
Germany,All,DE_01.03.2020,01.03.2020,f,80,10,1.6,0
Germany,All,DE_01.03.2020,01.03.2020,f,90,10,0.4,0
Germany,All,DE_01.03.2020,01.03.2020,f,100,5,0,0
Germany,All,DE_01.03.2020,01.03.2020,m,0,10,3.4,0
Germany,All,DE_01.03.2020,01.03.2020,m,10,10,4.9,0
Germany,All,DE_01.03.2020,01.03.2020,m,20,10,18.9,0
Germany,All,DE_01.03.2020,01.03.2020,m,30,10,24.4,0
Germany,All,DE_01.03.2020,01.03.2020,m,40,10,14.2,0
Germany,All,DE_01.03.2020,01.03.2020,m,50,10,10.2,0
Germany,All,DE_01.03.2020,01.03.2020,m,60,10,5.7,0
Germany,All,DE_01.03.2020,01.03.2020,m,70,10,2.4,0
Germany,All,DE_01.03.2020,01.03.2020,m,80,10,0,0
Germany,All,DE_01.03.2020,01.03.2020,m,90,10,0,0
Germany,All,DE_01.03.2020,01.03.2020,m,100,5,0,0
Germany,All,DE_01.04.2020,01.04.2020,b,0,10,1226.6,0
Germany,All,DE_01.04.2020,01.04.2020,b,10,10,2582,0.3
Germany,All,DE_01.04.2020,01.04.2020,b,20,10,9681.3,2.3
Germany,All,DE_01.04.2020,01.04.2020,b,30,10,17835.8,9.2
Germany,All,DE_01.04.2020,01.04.2020,b,40,10,14336.5,29.9
Germany,All,DE_01.04.2020,01.04.2020,b,50,10,14261.3,143.4
Germany,All,DE_01.04.2020,01.04.2020,b,60,10,9496.1,389.7
Germany,All,DE_01.04.2020,01.04.2020,b,70,10,5721.8,761.3
Germany,All,DE_01.04.2020,01.04.2020,b,80,10,4170.5,1155.7
Germany,All,DE_01.04.2020,01.04.2020,b,90,10,1094.3,519
Germany,All,DE_01.04.2020,01.04.2020,b,100,5,9,6.3
Germany,All,DE_01.04.2020,01.04.2020,f,0,10,574.5,0
Germany,All,DE_01.04.2020,01.04.2020,f,10,10,1275.2,0.1
Germany,All,DE_01.04.2020,01.04.2020,f,20,10,4923.6,0.8
Germany,All,DE_01.04.2020,01.04.2020,f,30,10,9108.2,2.5
Germany,All,DE_01.04.2020,01.04.2020,f,40,10,7119.7,6.3
Germany,All,DE_01.04.2020,01.04.2020,f,50,10,6622.2,27.5
Germany,All,DE_01.04.2020,01.04.2020,f,60,10,4119.2,77.9
Germany,All,DE_01.04.2020,01.04.2020,f,70,10,2723.2,215.3
Germany,All,DE_01.04.2020,01.04.2020,f,80,10,2307.9,480.4
Germany,All,DE_01.04.2020,01.04.2020,f,90,10,620.6,261.5
Germany,All,DE_01.04.2020,01.04.2020,f,100,5,5.3,3.7
Germany,All,DE_01.04.2020,01.04.2020,m,0,10,652,0
Germany,All,DE_01.04.2020,01.04.2020,m,10,10,1306.8,0.2
Germany,All,DE_01.04.2020,01.04.2020,m,20,10,4757.7,1.5
Germany,All,DE_01.04.2020,01.04.2020,m,30,10,8727.6,6.7
Germany,All,DE_01.04.2020,01.04.2020,m,40,10,7216.8,23.5
Germany,All,DE_01.04.2020,01.04.2020,m,50,10,7639.1,115.9
